Area_Name,Year,Group_Name,Sub_Group_Name,PH_Houses_Provided_by_Department,PH_Houses_provided_on_LeaseRentGPRA,PH_Sanctioned_Strength
Nagaland,2001,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),398,326,10896
Odisha,2001,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),7550,1399,31665
Puducherry,2001,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),730,NULL,2001
Punjab,2001,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),5782,2919,63459
Rajasthan,2001,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),13335,NULL,61615
Sikkim,2001,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),203,10,3686
Tamil Nadu,2001,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),28594,NULL,83901
Tripura,2001,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),1236,NULL,17496
Uttar Pradesh,2001,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),42247,10292,150729
Uttarakhand,2001,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),2239,NULL,11840
West Bengal,2001,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),4306,1149,73839
Andaman & Nicobar Islands,2002,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),629,NULL,2665
Andhra Pradesh,2002,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),34547,39122,73669
Arunachal Pradesh,2002,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),2051,3505,5556
Assam,2002,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),8180,0,49408
Bihar,2002,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),3642,40456,58950
Chandigarh,2002,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),1626,0,3705
Chhattisgarh,2002,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),3007,2319,11767
Dadra & Nagar Haveli,2002,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),0,200,216
Daman & Diu,2002,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),118,0,221
Delhi,2002,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),8466,NULL,45957
Goa,2002,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),1543,14,3463
Gujarat,2002,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),28797,3377,53385
Haryana,2002,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),4209,17299,34117
Himachal Pradesh,2002,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),5573,0,12322
Jammu & Kashmir,2002,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),3292,NULL,52686
Jharkhand,2002,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),1150,3403,7024
Karnataka,2002,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),22925,4484,54210
Kerala,2002,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),5830,90,41059
Lakshadweep,2002,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),172,NULL,293
Madhya Pradesh,2002,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),18314,8976,62177
Maharashtra,2002,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),0,74310,124245
Manipur,2002,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),143,NULL,13259
Meghalaya,2002,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),2063,10860,12923
Mizoram,2002,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),945,NULL,3221
Nagaland,2002,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),617,46,11114
Odisha,2002,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),7550,1399,31703
Puducherry,2002,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),682,NULL,2001
Punjab,2002,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),10604,NULL,63459
Rajasthan,2002,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),13335,NULL,61606
Sikkim,2002,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),394,NULL,3510
Tamil Nadu,2002,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),31195,0,84194
Tripura,2002,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),1756,NULL,18549
Uttar Pradesh,2002,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),42247,10315,150729
Uttarakhand,2002,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),1914,NULL,11840
West Bengal,2002,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),14645,993,73925
Andaman & Nicobar Islands,2003,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),629,NULL,2455
Andhra Pradesh,2003,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),37588,NULL,70649
Arunachal Pradesh,2003,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),2076,3480,5556
Assam,2003,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),8180,0,49408
Bihar,2003,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),3561,36379,59863
Chandigarh,2003,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),1486,0,3705
Chhattisgarh,2003,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),4198,2144,20668
Dadra & Nagar Haveli,2003,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),NULL,220,199
Daman & Diu,2003,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),148,0,221
Delhi,2003,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),5064,0,45957
Goa,2003,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),1212,NULL,3457
Gujarat,2003,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),31870,3610,53519
Haryana,2003,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),4305,17356,34336
Himachal Pradesh,2003,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),2066,0,12022
Jammu & Kashmir,2003,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),3292,0,52686
Jharkhand,2003,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),716,2768,13695
Karnataka,2003,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),24841,4262,54620
Kerala,2003,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),6408,0,41545
Lakshadweep,2003,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),179,NULL,294
Madhya Pradesh,2003,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),18314,8976,60066
Maharashtra,2003,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),70703,NULL,124245
Manipur,2003,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),152,0,13706
Meghalaya,2003,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),2063,6944,9007
Mizoram,2003,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),1162,NULL,6076
Nagaland,2003,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),288,621,11142
Odisha,2003,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),7550,1399,31773
Puducherry,2003,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),748,NULL,2005
Punjab,2003,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),11012,NULL,63459
Rajasthan,2003,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),13335,NULL,61646
Sikkim,2003,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),394,NULL,3510
Tamil Nadu,2003,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),35862,NULL,84507
Tripura,2003,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),1800,NULL,18549
Uttar Pradesh,2003,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),42247,10315,150729
Uttarakhand,2003,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),2228,NULL,11840
West Bengal,2003,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),14261,993,74491
Andaman & Nicobar Islands,2004,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),629,10,2455
Andhra Pradesh,2004,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),35456,39753,75209
Arunachal Pradesh,2004,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),2176,3388,5556
Assam,2004,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),6990,0,49408
Bihar,2004,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),3561,36379,59644
Chandigarh,2004,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),1639,0,3705
Chhattisgarh,2004,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),4554,2425,20859
Dadra & Nagar Haveli,2004,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),NULL,200,222
Daman & Diu,2004,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),144,NULL,217
Delhi,2004,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),5064,NULL,45957
Goa,2004,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),1693,NULL,3457
Gujarat,2004,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),31815,4587,53519
Haryana,2004,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),4341,22178,41379
Himachal Pradesh,2004,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),2066,0,12022
Jammu & Kashmir,2004,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),NULL,NULL,52686
Jharkhand,2004,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),716,2768,13695
Karnataka,2004,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),25673,4912,55962
Kerala,2004,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),6408,NULL,41545
Lakshadweep,2004,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),179,NULL,294
Madhya Pradesh,2004,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),17035,8398,63728
Maharashtra,2004,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),70841,NULL,125821
Manipur,2004,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),188,2,13443
Meghalaya,2004,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),2063,6944,9112
Mizoram,2004,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),1162,0,6076
Nagaland,2004,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),493,601,11086
Odisha,2004,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),8127,120,32342
Puducherry,2004,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),748,NULL,2045
Punjab,2004,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),11012,NULL,63216
Rajasthan,2004,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),13531,NULL,61704
Sikkim,2004,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),394,NULL,3053
Tamil Nadu,2004,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),35892,NULL,84722
Tripura,2004,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),1800,NULL,21501
Uttar Pradesh,2004,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),42247,10315,150732
Uttarakhand,2004,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),3506,NULL,11840
West Bengal,2004,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),14261,991,73890
Andaman & Nicobar Islands,2005,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),629,NULL,2455
Andhra Pradesh,2005,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),73332,2768,76100
Arunachal Pradesh,2005,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),2176,3388,5556
Assam,2005,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),64,0,49408
Bihar,2005,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),4146,55644,59790
Chandigarh,2005,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),1637,0,3705
Chhattisgarh,2005,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),5589,3035,25612
Dadra & Nagar Haveli,2005,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),NULL,200,222
Daman & Diu,2005,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),114,NULL,216
Delhi,2005,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),5133,NULL,48293
Goa,2005,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),970,NULL,3457
Gujarat,2005,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),31644,3696,53519
Haryana,2005,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),9573,22038,40334
Himachal Pradesh,2005,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),2327,0,12914
Jammu & Kashmir,2005,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),3292,0,54349
Jharkhand,2005,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),443,1340,14984
Karnataka,2005,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),26527,3078,56168
Kerala,2005,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),6763,0,41595
Lakshadweep,2005,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),179,NULL,294
Madhya Pradesh,2005,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),17035,8398,64694
Maharashtra,2005,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),70841,NULL,125821
Manipur,2005,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),249,2,15355
Meghalaya,2005,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),2113,6841,8954
Mizoram,2005,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),1012,0,6732
Nagaland,2005,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),1461,666,11402
Odisha,2005,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),8127,120,32345
Puducherry,2005,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),748,NULL,2129
Punjab,2005,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),11012,NULL,63216
Rajasthan,2005,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),13691,NULL,60697
Sikkim,2005,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),394,NULL,3430
Tamil Nadu,2005,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),38148,NULL,87890
Tripura,2005,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),1938,NULL,20683
Uttar Pradesh,2005,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),43247,10315,150729
Uttarakhand,2005,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),3720,NULL,11840
West Bengal,2005,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),9484,991,71361
Andaman & Nicobar Islands,2006,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),923,NULL,2455
Andhra Pradesh,2006,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),37410,2768,78050
Arunachal Pradesh,2006,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),2382,3174,5556
Assam,2006,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),71,0,49408
Bihar,2006,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),3997,57728,61725
Chandigarh,2006,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),1792,0,3705
Chhattisgarh,2006,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),4940,2124,35032
Dadra & Nagar Haveli,2006,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),0,200,222
Daman & Diu,2006,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),69,NULL,218
Delhi,2006,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),5228,NULL,51197
Goa,2006,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),991,NULL,3457
Gujarat,2006,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),28736,2810,72678
Haryana,2006,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),8418,19979,39903
Himachal Pradesh,2006,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),2327,0,12926
Jammu & Kashmir,2006,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),3292,0,61069
Jharkhand,2006,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),1627,2208,23455
Karnataka,2006,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),27071,3993,56479
Kerala,2006,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),6344,0,41956
Lakshadweep,2006,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),179,115,294
Madhya Pradesh,2006,PH_Lower Subordinates (Constables, Head Constables etc.),3. Lower SubOrdinates (Constables, Head Constables & Class-IV Subordinate Staff),18419,8113,66410
